ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032970	regulation of actin filament-based process	52/2112	406/18903	0.163799334993713	0.628561596640409	0.579628214874311	AKAP9/AKAP13/WDR1/MYH9/TEK/TNNT2/SPTBN1/FER/SPTAN1/NEDD9/RHOB/CYFIP2/PHPT1/SNX9/ARPIN/DSC2/PDE4D/GBA2/KANK1/EPS8/PDGFRB/CGNL1/FHOD3/ARHGAP6/SEMA5A/GATA4/ALMS1/DBN1/TGFB3/CORO1A/ANK2/ARF6/SIGLEC15/RND1/CELSR1/IQGAP2/TENM1/RAC2/PKP2/EVL/TNNC1/TMOD4/CAV3/LMOD2/SPTA1/MYLK2/ATP2A1/ANKRD23/NPHS1/PRKCE/RYR2/STMN1	52
BP	GO:0006766	vitamin metabolic process	16/2112	110/18903	0.163972595068834	0.628823886655529	0.579870085669561	CBR1/VKORC1L1/MMAA/NFKB1/SHMT1/LRP2/GFI1/SLC52A1/PIAS4/CUBN/CYP26A1/FPGS/CYP2W1/AKR1A1/BCO1/LGMN	16
BP	GO:2000379	positive regulation of reactive oxygen species metabolic process	11/2112	71/18903	0.16480786706406	0.631336986957253	0.582187541666673	CLCN3/THBS1/CBR1/ADGRB1/PDGFRB/CD177/ZNF205/TGFB1/GADD45A/PLCG2/GNAI2	11
BP	GO:0038127	ERBB signaling pathway	18/2112	126/18903	0.164838569334017	0.631336986957253	0.582187541666673	ERBB4/FER/STUB1/EGFR/EGF/GAB1/HAP1/CBLB/PTK6/ERRFI1/RTN4/PTPRJ/TGFB1/ADRA2A/PLCE1/RBPJ/NEURL1/LGMN	18
BP	GO:1902115	regulation of organelle assembly	28/2112	207/18903	0.16536625228981	0.632953586350654	0.583678289153589	DYNC1H1/SYNE2/CNOT1/RAB3GAP2/EHMT2/HNRNPU/SNX30/PHF23/PPP1R35/HAP1/EZR/EML3/CNOT6/NUMA1/ALMS1/PIP4K2A/PTPRD/TBC1D14/CEP295NL/SDC1/LRFN4/RAB5A/MAPK15/CHMP4A/NOTO/GRID2/CDK5RAP2/CAV3	28
BP	GO:0002720	positive regulation of cytokine production involved in immune response	12/2112	79/18903	0.167725506077069	0.636051295458797	0.586534842290386	MAP3K7/CARD9/SEMA7A/FFAR2/TRAF2/LILRB1/SASH3/HLA-G/SLC7A5/PLCG2/CLNK/LAPTM5	12
BP	GO:0003407	neural retina development	12/2112	79/18903	0.167725506077069	0.636051295458797	0.586534842290386	HIPK2/STAT3/NTRK2/DLX2/CALB1/MEGF11/POU4F2/SMARCD3/DLX1/ROM1/BARHL2/IGFN1	12
BP	GO:0036465	synaptic vesicle recycling	12/2112	79/18903	0.167725506077069	0.636051295458797	0.586534842290386	AP3B1/GIT1/SH3GL1/ACTB/DGKQ/RAB5A/DNM3/WNT3A/ARF6/ITSN2/SYT1/SLC2A4	12
BP	GO:0010719	negative regulation of epithelial to mesenchymal transition	7/2112	41/18903	0.167755051334067	0.636051295458797	0.586534842290386	SMAD7/NOG/DACT3/SPRED3/ADIPOR1/IL17RD/SFRP2	7
BP	GO:0019432	triglyceride biosynthetic process	7/2112	41/18903	0.167755051334067	0.636051295458797	0.586534842290386	ACSL1/DGAT1/LPIN2/GPAT3/PCK1/PCK2/LDLR	7
BP	GO:0070232	regulation of T cell apoptotic process	7/2112	41/18903	0.167755051334067	0.636051295458797	0.586534842290386	ADAM8/JAK3/PDCD1/ADA/CCL5/TSC22D3/CD274	7
BP	GO:0120178	steroid hormone biosynthetic process	7/2112	41/18903	0.167755051334067	0.636051295458797	0.586534842290386	DAB2/CYP11B2/DGKQ/EGR1/CYP11B1/HSD17B1/CYP19A1	7
BP	GO:0010718	positive regulation of epithelial to mesenchymal transition	9/2112	56/18903	0.168164056230687	0.636051295458797	0.586534842290386	DAB2/JAG1/TGFB1/TGFB3/TBX20/ENG/ZNF703/GCNT2/COL1A1	9
BP	GO:0043687	post-translational protein modification	9/2112	56/18903	0.168164056230687	0.636051295458797	0.586534842290386	UBE2M/RPS6KA4/ATG12/PRKCB/RPS6KA5/PKN1/EGR1/UBA3/AURKB	9
BP	GO:0060998	regulation of dendritic spine development	9/2112	56/18903	0.168164056230687	0.636051295458797	0.586534842290386	CAPRIN2/DBN1/DNM3/ARF6/FOXO6/APOE/ITPKA/NEURL1/GRIN3A	9
BP	GO:0046942	carboxylic acid transport	38/2112	290/18903	0.168423832435214	0.636051295458797	0.586534842290386	ABCC4/SLCO3A1/SLC3A1/UMOD/NTRK2/GABBR1/SLC16A7/SLC7A5P2/SLC22A2/SLC7A2/SLC16A8/SLC25A22/PLA2G3/SLC1A7/PLA2R1/ADORA2A/FGF19/SLC36A2/LRP2/PLA2G2F/SLC38A4/SLC7A5/SLC17A2/SLC47A1/SLC7A7/SLC6A7/SLC16A1/SLC22A6/SLC13A3/NTSR1/SLC10A4/SLC6A13/SLC38A6/ABAT/ABCC2/SLC17A4/GRM1/SLC7A8	38
BP	GO:0070371	ERK1 and ERK2 cascade	44/2112	340/18903	0.168534465557387	0.636051295458797	0.586534842290386	RAPGEF2/PKHD1/ERBB4/TEK/DAB2/NPNT/RAP1A/TIMP3/CARD9/EGFR/EGF/TPBG/SEMA7A/PDGFRB/EZR/CTSH/ERRFI1/GATA4/NTRK1/TGFB1/FGF19/DSTYK/ARRB2/CHRNA7/MIR27A/CCL19/HCRTR1/FGF1/APOE/EPHA7/KDR/MIR145/C1QL4/P2RY6/CCL5/SPRED3/EMILIN1/GNAI2/GCNT2/MIR126/ROS1/ADIPOQ/DUSP26/CRYBA1	44
BP	GO:0031056	regulation of histone modification	24/2112	175/18903	0.169628670917891	0.636051295458797	0.586534842290386	TRIP12/PPARGC1A/AKAP8/EHMT2/NOC2L/TADA2B/SKI/MYBBP1A/IGF2/DEK/AKAP8L/CDK9/SNW1/KMT2A/SET/AASS/PWWP2B/NFYA/GFI1/KDM4D/KDM4C/SUPT6H/CHTOP/MYOCD	24
BP	GO:0003084	positive regulation of systemic arterial blood pressure	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	WNK1/HSD11B2/CYP11B2	3
BP	GO:0003096	renal sodium ion transport	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	UMOD/CLCNKB/EDNRB	3
BP	GO:0003334	keratinocyte development	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	FLNB/DNASE1L2/EXPH5	3
BP	GO:0007501	mesodermal cell fate specification	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	WNT3A/SFRP2/MESP1	3
BP	GO:0007512	adult heart development	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	MYH7/TCAP/CHD7	3
BP	GO:0009133	nucleoside diphosphate biosynthetic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	ENTPD8/GUK1/AK4	3
BP	GO:0009143	nucleoside triphosphate catabolic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	NUDT16/ADA/ENPP3	3
BP	GO:0010713	negative regulation of collagen metabolic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	ERRFI1/CYGB/EMILIN1	3
BP	GO:0010745	negative regulation of macrophage derived foam cell differentiation	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	PPARA/ABCA5/ADIPOQ	3
BP	GO:0030157	pancreatic juice secretion	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	WNK1/NPR3/AQP1	3
BP	GO:0032530	regulation of microvillus organization	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	PODXL/EZR/PLD1	3
BP	GO:0035331	negative regulation of hippo signaling	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	LIMD1/WTIP/SHANK2	3
BP	GO:0035865	cellular response to potassium ion	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	CYP11B2/CYP11B1/DLG2	3
BP	GO:0038203	TORC2 signaling	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	TELO2/SIK3/PRR5L	3
BP	GO:0042362	fat-soluble vitamin biosynthetic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	NFKB1/GFI1/BCO1	3
BP	GO:0042415	norepinephrine metabolic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	EPAS1/KL/TH	3
BP	GO:0045741	positive regulation of epidermal growth factor-activated receptor activity	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	EGF/ADRA2A/NEURL1	3
BP	GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	CNOT1/TNRC6C/ZFP36	3
BP	GO:0070243	regulation of thymocyte apoptotic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	ADAM8/JAK3/ADA	3
BP	GO:0070486	leukocyte aggregation	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	ZAP70/STK10/RAC2	3
BP	GO:0097048	dendritic cell apoptotic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	RAPGEF2/LILRB1/CCL19	3
BP	GO:0099550	trans-synaptic signaling, modulating synaptic transmission	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	NTRK2/PLG/CSPG5	3
BP	GO:1901862	negative regulation of muscle tissue development	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	LUC7L/TGFB1/YBX3	3
BP	GO:1901894	regulation of ATPase-coupled calcium transmembrane transporter activity	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	THADA/ATP2A1/RYR2	3
BP	GO:1903599	positive regulation of autophagy of mitochondrion	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	VPS13D/SLC25A5/CERS1	3
BP	GO:1903651	positive regulation of cytoplasmic transport	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	DAB2/EZR/TRIM46	3
BP	GO:1903961	positive regulation of anion transmembrane transport	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	ABCB1/CFTR/SLC34A1	3
BP	GO:1904889	regulation of excitatory synapse assembly	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	PTPRD/LRFN4/GRID2	3
BP	GO:2000668	regulation of dendritic cell apoptotic process	3/2112	13/18903	0.17063237956252	0.636051295458797	0.586534842290386	RAPGEF2/LILRB1/CCL19	3
BP	GO:0090130	tissue migration	48/2112	374/18903	0.171095600507836	0.637110251075534	0.587511358445749	MACF1/ADAMTS9/MYH9/EPB41L5/DOCK1/TEK/THBS1/LGALS8/RHOB/RAB13/ADGRB1/EGR3/CALR/PKN3/EGF/KANK1/ENPP2/SEMA5A/CTSH/ZNF580/RTN4/TGFB1/GADD45A/CORO1A/PKN1/ARF6/MIR27A/CD40/NR4A1/PLCG2/FGF1/APOE/KDR/INSL3/MIR200A/VSTM4/EDN2/DPP4/EVL/ADIPOR1/ACTA1/LGMN/MIR126/SERPINF1/PTP4A3/LGALS12/PRKCE/HMOX1	48
BP	GO:1901606	alpha-amino acid catabolic process	14/2112	95/18903	0.171346428740578	0.637110251075534	0.587511358445749	MCCC2/GLUD1/ACAT1/ACAD8/AASS/ALDH8A1/ALDH6A1/SHMT1/AHCY/AGXT2/PAH/SDS/ALDH4A1/CRYM	14
BP	GO:0046620	regulation of organ growth	15/2112	103/18903	0.172346385182198	0.637110251075534	0.587511358445749	ERBB4/IGF2/BASP1/PPARA/FLVCR1/TGFBR3/LATS2/TBX20/SASH3/YBX3/NOG/TP73/ARX/RBPJ/CAV3	15
BP	GO:0000768	syncytium formation by plasma membrane fusion	10/2112	64/18903	0.172810118800501	0.637110251075534	0.587511358445749	MYH9/DOCK1/ADGRB1/PLEKHO1/IL4R/TNFSF14/VASH2/SCGB3A1/CAV3/NPHS1	10
BP	GO:0001947	heart looping	10/2112	64/18903	0.172810118800501	0.637110251075534	0.587511358445749	GATA4/FOXH1/TBX20/SHH/WNT3A/C2CD3/ENG/NOTO/CCDC39/MESP1	10
BP	GO:0140253	cell-cell fusion	10/2112	64/18903	0.172810118800501	0.637110251075534	0.587511358445749	MYH9/DOCK1/ADGRB1/PLEKHO1/IL4R/TNFSF14/VASH2/SCGB3A1/CAV3/NPHS1	10
BP	GO:0010631	epithelial cell migration	47/2112	366/18903	0.172977744514513	0.637110251075534	0.587511358445749	MACF1/ADAMTS9/MYH9/EPB41L5/DOCK1/TEK/THBS1/LGALS8/RHOB/RAB13/ADGRB1/EGR3/CALR/PKN3/EGF/KANK1/ENPP2/SEMA5A/CTSH/ZNF580/RTN4/TGFB1/GADD45A/CORO1A/PKN1/ARF6/MIR27A/CD40/NR4A1/PLCG2/FGF1/APOE/KDR/INSL3/MIR200A/VSTM4/EDN2/DPP4/EVL/ADIPOR1/LGMN/MIR126/SERPINF1/PTP4A3/LGALS12/PRKCE/HMOX1	47
BP	GO:0002021	response to dietary excess	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	PPARGC1A/BMP8A/PCSK1N/APOE/SLC12A3/VGF	6
BP	GO:0003382	epithelial cell morphogenesis	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	FLNB/PKHD1/EPB41L5/FAT1/RILPL2/RILPL1	6
BP	GO:0021799	cerebral cortex radially oriented cell migration	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	SYNE2/RTN4/LHX6/FOXG1/CDK5R2/SRGAP2	6
BP	GO:0032480	negative regulation of type I interferon production	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	CACTIN/ATG12/MIR26B/LILRB1/NLRC3/LILRA4	6
BP	GO:0032743	positive regulation of interleukin-2 production	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	MAP3K7/SPTBN1/PDE4D/TRAF2/SASH3/PLCG2	6
BP	GO:0034383	low-density lipoprotein particle clearance	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	PCSK9/LDLRAP1/MIR27A/LDLR/HMOX1/ADIPOQ	6
BP	GO:0034405	response to fluid shear stress	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	SMAD6/SMAD7/PDGFRB/TGFB3/ASS1/MIR126	6
BP	GO:0035335	peptidyl-tyrosine dephosphorylation	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	PTPN13/PTPRB/PTPRJ/PTPRO/DUSP1/PTPRT	6
BP	GO:0042044	fluid transport	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	AHCYL1/ITPR1/AQP1/AQP8/CFTR/EDNRB	6
BP	GO:0051973	positive regulation of telomerase activity	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	PNKP/ACD/WRAP53/MAPK15/NEK2/AURKB	6
BP	GO:0061081	positive regulation of myeloid leukocyte cytokine production involved in immune response	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	CARD9/SEMA7A/LILRB1/HLA-G/PLCG2/LAPTM5	6
BP	GO:0090162	establishment of epithelial cell polarity	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	FAT1/PARD3/FRMD4B/SHH/ARF6/TCF15	6
BP	GO:1905508	protein localization to microtubule organizing center	6/2112	34/18903	0.173123884520371	0.637110251075534	0.587511358445749	GOLGB1/CEP350/CEP131/NUMA1/C2CD3/CEP72	6
BP	GO:0008154	actin polymerization or depolymerization	27/2112	200/18903	0.173148581748756	0.637110251075534	0.587511358445749	WDR1/SPTBN1/FER/SPTAN1/ENAH/CYFIP2/MICALL2/SNX9/GBA2/KANK1/EPS8/FHOD3/ARHGAP6/SEMA5A/DBN1/PSTPIP1/CORO1A/ARF6/PPP1R9B/TENM1/EVL/TMOD4/LMOD2/SPTA1/NPHS1/PRKCE/MICAL3	27
BP	GO:0006163	purine nucleotide metabolic process	60/2112	476/18903	0.17523402198935	0.639004983555537	0.589258586419775	PPARGC1A/MCCC2/ZBTB20/SDHA/ACSL1/PDHA1/ATP1B1/STAT3/ACAT1/OGDH/ENO1/CBFA2T3/DGAT1/ACLY/PFKFB2/PPARA/PDK4/FAR1/NUDT16/PDE4D/GIT1/OGDHL/HMGCS1/GUCA1B/AASS/ADCY6/GLYAT/TGFB1/PFKM/BPGM/MAGI3/PRPS2/ACSBG1/ACSM2B/ENO2/SLC35B3/HMGCS2/GUK1/ACSM2A/DHTKD1/MPP1/FBP1/AK4/ADCY7/ALDOB/SLC4A4/LOC344967/GUCA1A/ADA/ADORA2B/ACSF2/THEM5/AK9/MYH7/MYH3/ACTN3/ENPP3/PANK1/DLG2/ACSM1	60
BP	GO:0032640	tumor necrosis factor production	25/2112	184/18903	0.175638911768305	0.639004983555537	0.589258586419775	ZBTB20/CACTIN/AKAP8/STAT3/THBS1/SPN/CARD9/TMEM106A/NFATC4/ERRFI1/ZFP36/LILRA2/PTPRJ/IL27RA/LILRB1/SASH3/ARRB2/NLRC3/CHRNA7/CCL19/PLCG2/LILRA4/C1QTNF4/PF4/ADIPOQ	25
BP	GO:0032680	regulation of tumor necrosis factor production	25/2112	184/18903	0.175638911768305	0.639004983555537	0.589258586419775	ZBTB20/CACTIN/AKAP8/STAT3/THBS1/SPN/CARD9/TMEM106A/NFATC4/ERRFI1/ZFP36/LILRA2/PTPRJ/IL27RA/LILRB1/SASH3/ARRB2/NLRC3/CHRNA7/CCL19/PLCG2/LILRA4/C1QTNF4/PF4/ADIPOQ	25
BP	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	8/2112	49/18903	0.175659488669436	0.639004983555537	0.589258586419775	HSD11B2/PDE4D/CYP11B2/EDNRB/ENPEP/EDN2/PCSK5/NOX1	8
BP	GO:0033628	regulation of cell adhesion mediated by integrin	8/2112	49/18903	0.175659488669436	0.639004983555537	0.589258586419775	WNK1/FERMT3/PODXL/SERPINE1/ADA/CCL5/DPP4/SFRP2	8
BP	GO:0055081	anion homeostasis	8/2112	49/18903	0.175659488669436	0.639004983555537	0.589258586419775	WNK1/CA12/UMOD/SLC12A1/CKB/SLC34A1/SLC12A3/ENPP3	8
BP	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	8/2112	49/18903	0.175659488669436	0.639004983555537	0.589258586419775	GPR68/OXCT1/STX4/BRSK2/KLF7/CFTR/ADRA2A/PRKCE	8
BP	GO:0099054	presynapse assembly	8/2112	49/18903	0.175659488669436	0.639004983555537	0.589258586419775	FARP1/PTPRD/LRFN4/WNT3A/ARF6/PCDH17/PCLO/CNTN5	8
BP	GO:0002418	immune response to tumor cell	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	FBXO38/AHR/CD274/ADAM15/NKG7	5
BP	GO:0003171	atrioventricular valve development	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	MDM4/SMAD6/MDM2/GATA4/TBX20	5
BP	GO:0010460	positive regulation of heart rate	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	PDE4D/SCN3B/ADA/EDN2/RYR2	5
BP	GO:0021895	cerebral cortex neuron differentiation	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	FEZF2/DLX2/LHX6/DLX1/ARX	5
BP	GO:0032967	positive regulation of collagen biosynthetic process	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	PDGFRB/TGFB1/TGFB3/ARRB2/ENG	5
BP	GO:0042537	benzene-containing compound metabolic process	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	EPHX2/ACAA1/ALDH8A1/TH/ACSM1	5
BP	GO:0046037	GMP metabolic process	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	MAGI3/GUK1/MPP1/ADA/DLG2	5
BP	GO:0046618	xenobiotic export from cell	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	ABCB1/PDZK1/SLC47A1/SLC22A5/ABCC2	5
BP	GO:0072207	metanephric epithelium development	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	ACAT1/UMOD/AQP1/CALB1/ADIPOQ	5
BP	GO:1902932	positive regulation of alcohol biosynthetic process	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	DAB2/FGF1/NTSR1/P2RY6/PTH1R	5
BP	GO:1905564	positive regulation of vascular endothelial cell proliferation	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	STAT3/IGF2/NRARP/MIR27A/MIR126	5
BP	GO:1905820	positive regulation of chromosome separation	5/2112	27/18903	0.17707394995258	0.639004983555537	0.589258586419775	INCENP/CDCA8/NUMA1/MAPK15/AURKB	5
BP	GO:0002643	regulation of tolerance induction	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	CBLB/PDCD1/HLA-G/CD274	4
BP	GO:0006491	N-glycan processing	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	MAN1A1/PRKCSH/GANC/MAN1C1	4
BP	GO:0009110	vitamin biosynthetic process	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	NFKB1/GFI1/AKR1A1/BCO1	4
BP	GO:0010310	regulation of hydrogen peroxide metabolic process	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	ZNF205/NOXO1/FYN/RAC2	4
BP	GO:0030002	cellular anion homeostasis	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	WNK1/UMOD/CKB/SLC34A1	4
BP	GO:0031629	synaptic vesicle fusion to presynaptic active zone membrane	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	STX4/STX2/PRRT2/SYT1	4
BP	GO:0032332	positive regulation of chondrocyte differentiation	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	SOX6/PKDCC/SMAD7/ZBTB16	4
BP	GO:0033762	response to glucagon	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	STK11/HMGCS2/ASS1/GLP2R	4
BP	GO:0042474	middle ear morphogenesis	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	NOG/OSR2/GSC/MSX1	4
BP	GO:0042693	muscle cell fate commitment	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	WNT3A/TBX18/RBPJ/MYL2	4
BP	GO:0046931	pore complex assembly	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	PLEKHA7/RTN4/TSPAN33/NUP98	4
BP	GO:0048643	positive regulation of skeletal muscle tissue development	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	IGF2/SHH/WNT3A/ACTN3	4
BP	GO:0055093	response to hyperoxia	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	PDGFRB/SLC7A5/NOX1/COL1A1	4
BP	GO:0060716	labyrinthine layer blood vessel development	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	PLCD3/PLG/VASH2/RBPJ	4
BP	GO:0060749	mammary gland alveolus development	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	ERBB4/EGF/DDR1/FOXB1	4
BP	GO:0061377	mammary gland lobule development	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	ERBB4/EGF/DDR1/FOXB1	4
BP	GO:0071379	cellular response to prostaglandin stimulus	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	AKAP8/ADCY6/P2RY6/PRKCE	4
BP	GO:0072234	metanephric nephron tubule development	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	ACAT1/UMOD/AQP1/CALB1	4
BP	GO:0097320	plasma membrane tubulation	4/2112	20/18903	0.177821206635075	0.639004983555537	0.589258586419775	PLEKHM2/SNX9/CHMP4A/PACSIN3	4
BP	GO:0045732	positive regulation of protein catabolic process	28/2112	209/18903	0.178451443856054	0.6408855329378	0.590992735447094	ARIH1/DAB2/STUB1/CBFA2T3/DDRGK1/ADAM8/SNX9/MDM2/NKD1/SMAD7/EZR/PCSK9/DDB1/CBLB/CSNK1E/ECSCR/AXIN1/LRP2/TAF1/TIPARP/APOE/ADRA2A/TNFRSF1B/VIP/C4BPB/LDLR/CEBPA/PACSIN3	28
BP	GO:0070227	lymphocyte apoptotic process	12/2112	80/18903	0.178569914070568	0.640926984993404	0.591030960469305	NOC2L/ADAM8/JAK3/BAX/PDCD1/BIRC7/PKN1/AURKB/ADA/CCL5/TSC22D3/CD274	12
BP	GO:0015850	organic hydroxy compound transport	38/2112	292/18903	0.179527344988423	0.643977801233157	0.593844271337181	ABCC4/DAB2/GABBR1/EGF/SLC16A7/GRAMD1A/P2RX1/ABCA5/PCSK9/SYT12/ACTB/SLC22A2/SLC16A8/PIP4K2A/NFKB1/AQP1/APOA5/ADORA2A/FGF19/LILRB1/ADRA2C/SHH/LDLRAP1/MAPK15/GAL/MIR27A/SLC16A1/CFTR/APOE/ADRA2A/SLC10A4/ABAT/ABCC2/VIP/CYP19A1/LDLR/SYT1/ADIPOQ	38
BP	GO:0032271	regulation of protein polymerization	27/2112	201/18903	0.17992602880747	0.644936910035059	0.594728713730238	AKAP9/SPTBN1/FER/SPTAN1/CYFIP2/SNX9/GBA2/GIT1/KANK1/EPS8/FHOD3/NUMA1/CLIP3/DBN1/CORO1A/PDE4DIP/ARF6/TENM1/EVL/CDK5RAP2/TMOD4/CAV3/LMOD2/SPTA1/NPHS1/PRKCE/STMN1	27
BP	GO:0022618	ribonucleoprotein complex assembly	31/2112	234/18903	0.180180646396559	0.644936910035059	0.594728713730238	LUC7L3/RNU4-2/RNU5A-1/RNU5E-1/RNU11/SNRNP200/RNU4-1/RNU5B-1/SART1/RNVU1-19/RNVU1-7/BOP1/RNVU1-1/RNVU1-15/RNVU1-8/RNU5D-1/LUC7L/RNU6ATAC/CELF4/RRP7BP/RNU4ATAC/SRSF9/EIF3J/RNVU1-6/DDX20/RNU5F-1/ISY1/RPS19/AGO4/GEMIN7/AGO1	31
BP	GO:0071356	cellular response to tumor necrosis factor	31/2112	234/18903	0.180180646396559	0.644936910035059	0.594728713730238	CACTIN/NPNT/THBS1/ACTN4/UMOD/SPHK1/TRADD/KRT18/ZFP36/VCAM1/NFKB1/BIRC7/TRAF2/TNFRSF18/YBX3/HMHB1/PIAS4/CD40/CCL19/TCL1A/TNFRSF4/TNFRSF1B/ASS1/TNFRSF25/CCL5/PCK2/LAPTM5/CEBPA/ADIPOQ/SLC2A4/COL1A1	31
BP	GO:0032370	positive regulation of lipid transport	13/2112	88/18903	0.180225112497285	0.644936910035059	0.594728713730238	ACSL1/DAB2/ABCA5/PLA2G3/PLA2R1/DBI/LDLRAP1/GAL/APOE/FABP3/NTSR1/CYP19A1/ADIPOQ	13
BP	GO:0048168	regulation of neuronal synaptic plasticity	9/2112	57/18903	0.18123168009813	0.646333605642219	0.596016676892206	KMT2A/DBN1/SYNGAP1/SHISA8/RAB5A/NOG/APOE/NEURL1/VGF	9
BP	GO:0090175	regulation of establishment of planar polarity	9/2112	57/18903	0.18123168009813	0.646333605642219	0.596016676892206	PKHD1/PLEKHA4/DAB2/NKD1/DAAM1/SAPCD2/CELSR1/SFRP2/MAGI2	9
BP	GO:1903053	regulation of extracellular matrix organization	9/2112	57/18903	0.18123168009813	0.646333605642219	0.596016676892206	RIC1/LAMA2/TGFB1/DDR1/AEBP1/TNFRSF1B/DPP4/EMILIN1/TCF15	9
BP	GO:0014033	neural crest cell differentiation	14/2112	96/18903	0.181300224524209	0.646333605642219	0.596016676892206	ERBB4/JAG1/SEMA4C/SEMA7A/CDH2/SEMA5A/SEMA6B/RADIL/FGF19/SHH/GSC/EDNRB/NOLC1/SEMA3D	14
