ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	adj.P.Val	P.Value	t	B	logFC	
202899_s_at	1.09E-02	6.07E-04	3.7245857	-0.420686	0.49696374	SRSF3	1.09E-02	6.07E-04	3.7245857	-0.420686	0.49696374	up
217165_x_at	1.10E-02	6.08E-04	3.7236037	-0.423337	0.94712377	MT1F	1.10E-02	6.08E-04	3.7236037	-0.423337	0.94712377	up
215295_at	1.10E-02	6.09E-04	3.7235412	-0.423506	0.22904881	DTNB	1.10E-02	6.09E-04	3.7235412	-0.423506	0.22904881	up
234744_x_at	1.10E-02	6.09E-04	3.7232512	-0.424289	0.2276001	KIF20B	1.10E-02	6.09E-04	3.7232512	-0.424289	0.2276001	up
239712_at	1.10E-02	6.09E-04	-3.7230504	-0.424831	-0.15903331	CCDC171	1.10E-02	6.09E-04	-3.7230504	-0.424831	-0.15903331	down
234315_at	1.10E-02	6.10E-04	3.7225433	-0.426199	0.18615216	BACH1	1.10E-02	6.10E-04	3.7225433	-0.426199	0.18615216	up
243747_at	1.10E-02	6.11E-04	-3.7224258	-0.426517	-0.43659061	ZNF599	1.10E-02	6.11E-04	-3.7224258	-0.426517	-0.43659061	down
222755_s_at	1.10E-02	6.13E-04	3.7213172	-0.429508	0.35437303	CHD7	1.10E-02	6.13E-04	3.7213172	-0.429508	0.35437303	up
239650_at	1.10E-02	6.13E-04	-3.7209866	-0.4304	-0.5273879	NCKAP5	1.10E-02	6.13E-04	-3.7209866	-0.4304	-0.5273879	down
203122_at	1.10E-02	6.13E-04	-3.7209778	-0.430424	-0.27531165	TRAPPC12	1.10E-02	6.13E-04	-3.7209778	-0.430424	-0.27531165	down
208173_at	1.10E-02	6.13E-04	3.7208214	-0.430846	0.37539452	IFNB1	1.10E-02	6.13E-04	3.7208214	-0.430846	0.37539452	up
1562270_at	1.10E-02	6.13E-04	-3.7207994	-0.430906	-0.39360405	ARHGEF7	1.10E-02	6.13E-04	-3.7207994	-0.430906	-0.39360405	down
200958_s_at	1.10E-02	6.14E-04	3.7206168	-0.431398	0.49835104	SDCBP	1.10E-02	6.14E-04	3.7206168	-0.431398	0.49835104	up
1560201_at	1.10E-02	6.14E-04	-3.7202622	-0.432355	-0.32152665	ZNF713	1.10E-02	6.14E-04	-3.7202622	-0.432355	-0.32152665	down
1554187_at	1.10E-02	6.15E-04	3.7201613	-0.432627	0.21891549	LOC554206	1.10E-02	6.15E-04	3.7201613	-0.432627	0.21891549	up
236241_at	1.10E-02	6.15E-04	-3.7200687	-0.432877	-0.54842327	MED31	1.10E-02	6.15E-04	-3.7200687	-0.432877	-0.54842327	down
1562966_at	1.10E-02	6.15E-04	3.7200074	-0.433043	0.48341423	KIAA1217	1.10E-02	6.15E-04	3.7200074	-0.433043	0.48341423	up
1569700_s_at	1.10E-02	6.16E-04	3.7196314	-0.434057	0.27631509	AK7	1.10E-02	6.16E-04	3.7196314	-0.434057	0.27631509	up
1560380_at	1.10E-02	6.16E-04	-3.7193775	-0.434742	-0.21405428	LOC497256	1.10E-02	6.16E-04	-3.7193775	-0.434742	-0.21405428	down
1553809_a_at	1.10E-02	6.16E-04	3.7192626	-0.435052	1.30223878	TMEM252	1.10E-02	6.16E-04	3.7192626	-0.435052	1.30223878	up
220934_s_at	1.10E-02	6.16E-04	-3.7191706	-0.4353	-0.49051374	TMEM223	1.10E-02	6.16E-04	-3.7191706	-0.4353	-0.49051374	down
206772_at	1.10E-02	6.17E-04	-3.718979	-0.435817	-0.27287855	PTH2R	1.10E-02	6.17E-04	-3.718979	-0.435817	-0.27287855	down
206868_at	1.10E-02	6.18E-04	-3.7184242	-0.437314	-0.52853756	STARD8	1.10E-02	6.18E-04	-3.7184242	-0.437314	-0.52853756	down
1553390_at	1.11E-02	6.18E-04	3.7180765	-0.438252	0.34710974	ATG9B	1.11E-02	6.18E-04	3.7180765	-0.438252	0.34710974	up
208406_s_at	1.11E-02	6.19E-04	3.7177522	-0.439126	0.330264	GRAP2	1.11E-02	6.19E-04	3.7177522	-0.439126	0.330264	up
1552842_at	1.11E-02	6.22E-04	3.7159695	-0.443934	0.32001424	HS6ST3	1.11E-02	6.22E-04	3.7159695	-0.443934	0.32001424	up
210876_at	1.11E-02	6.22E-04	3.7159474	-0.443994	0.40824337	ANXA2P1	1.11E-02	6.22E-04	3.7159474	-0.443994	0.40824337	up
206748_s_at	1.11E-02	6.22E-04	3.7159333	-0.444032	0.53321625	SPAG9	1.11E-02	6.22E-04	3.7159333	-0.444032	0.53321625	up
201945_at	1.11E-02	6.22E-04	3.7158768	-0.444184	0.25596991	FURIN	1.11E-02	6.22E-04	3.7158768	-0.444184	0.25596991	up
1553592_x_at	1.11E-02	6.24E-04	3.7149476	-0.44669	0.2281907	BCRP3	1.11E-02	6.24E-04	3.7149476	-0.44669	0.2281907	up
242690_at	1.11E-02	6.24E-04	3.7148891	-0.446848	0.22871453	ATP11C	1.11E-02	6.24E-04	3.7148891	-0.446848	0.22871453	up
1569354_at	1.11E-02	6.24E-04	-3.7148855	-0.446857	-0.39444802	NSUN6	1.11E-02	6.24E-04	-3.7148855	-0.446857	-0.39444802	down
226744_at	1.11E-02	6.24E-04	-3.7148351	-0.446994	-0.26001085	LOC284009///METTL16	1.11E-02	6.24E-04	-3.7148351	-0.446994	-0.26001085	down
217369_at	1.11E-02	6.25E-04	3.7147135	-0.447321	0.48012981	LOC101930405///IGHG1	1.11E-02	6.25E-04	3.7147135	-0.447321	0.48012981	up
228210_at	1.11E-02	6.26E-04	3.7141657	-0.448798	0.38256548	NXPH3	1.11E-02	6.26E-04	3.7141657	-0.448798	0.38256548	up
1566967_at	1.11E-02	6.26E-04	3.7138099	-0.449758	0.40279993	SPRY4-IT1	1.11E-02	6.26E-04	3.7138099	-0.449758	0.40279993	up
211098_x_at	1.12E-02	6.27E-04	3.7132377	-0.4513	0.32077888	TMCO1	1.12E-02	6.27E-04	3.7132377	-0.4513	0.32077888	up
211966_at	1.12E-02	6.28E-04	3.7128825	-0.452258	0.87250273	COL4A2	1.12E-02	6.28E-04	3.7128825	-0.452258	0.87250273	up
226746_s_at	1.12E-02	6.28E-04	3.7128707	-0.452289	0.37252336	UBE4B	1.12E-02	6.28E-04	3.7128707	-0.452289	0.37252336	up
243796_at	1.12E-02	6.28E-04	-3.7126973	-0.452757	-0.46799003	HEXIM2	1.12E-02	6.28E-04	-3.7126973	-0.452757	-0.46799003	down
219617_at	1.12E-02	6.29E-04	-3.7120071	-0.454617	-0.32141336	CAMKMT	1.12E-02	6.29E-04	-3.7120071	-0.454617	-0.32141336	down
217040_x_at	1.12E-02	6.30E-04	3.7118638	-0.455004	0.47180398	SOX15	1.12E-02	6.30E-04	3.7118638	-0.455004	0.47180398	up
214883_at	1.12E-02	6.30E-04	3.7115762	-0.455779	0.2893046	THRA	1.12E-02	6.30E-04	3.7115762	-0.455779	0.2893046	up
233382_at	1.12E-02	6.30E-04	3.7114728	-0.456058	0.32566917	LOC145845	1.12E-02	6.30E-04	3.7114728	-0.456058	0.32566917	up
204584_at	1.12E-02	6.31E-04	-3.7112565	-0.45664	-0.79175454	L1CAM	1.12E-02	6.31E-04	-3.7112565	-0.45664	-0.79175454	down
1559502_s_at	1.12E-02	6.31E-04	3.711234	-0.456701	0.42688804	LRRC25	1.12E-02	6.31E-04	3.711234	-0.456701	0.42688804	up
1554538_at	1.12E-02	6.32E-04	3.7106558	-0.458259	0.27727024	RHOF	1.12E-02	6.32E-04	3.7106558	-0.458259	0.27727024	up
208879_x_at	1.12E-02	6.33E-04	3.7101101	-0.45973	0.6482431	PRPF6	1.12E-02	6.33E-04	3.7101101	-0.45973	0.6482431	up
228848_at	1.12E-02	6.33E-04	3.7099583	-0.460139	0.34558394	ABTB1	1.12E-02	6.33E-04	3.7099583	-0.460139	0.34558394	up
1570376_at	1.12E-02	6.34E-04	3.7093432	-0.461796	0.22600173	LINC00689	1.12E-02	6.34E-04	3.7093432	-0.461796	0.22600173	up
240510_at	1.12E-02	6.35E-04	3.7090796	-0.462507	0.34924908	NBN	1.12E-02	6.35E-04	3.7090796	-0.462507	0.34924908	up
233820_at	1.12E-02	6.35E-04	3.708979	-0.462778	0.26758711	FAS	1.12E-02	6.35E-04	3.708979	-0.462778	0.26758711	up
226353_at	1.12E-02	6.35E-04	3.708915	-0.46295	0.3638438	SPPL2A	1.12E-02	6.35E-04	3.708915	-0.46295	0.3638438	up
1558769_s_at	1.13E-02	6.38E-04	3.7075855	-0.466532	0.26061028	DNAH1	1.13E-02	6.38E-04	3.7075855	-0.466532	0.26061028	up
1559682_at	1.13E-02	6.38E-04	3.7072666	-0.467391	0.25681806	TRIM16L	1.13E-02	6.38E-04	3.7072666	-0.467391	0.25681806	up
203601_s_at	1.13E-02	6.39E-04	3.7068226	-0.468587	0.32984329	ZBTB17	1.13E-02	6.39E-04	3.7068226	-0.468587	0.32984329	up
241672_at	1.13E-02	6.39E-04	-3.7067062	-0.468901	-0.17182414	SERTM1	1.13E-02	6.39E-04	-3.7067062	-0.468901	-0.17182414	down
205677_s_at	1.13E-02	6.39E-04	-3.7066753	-0.468984	-0.450243	DLEU1	1.13E-02	6.39E-04	-3.7066753	-0.468984	-0.450243	down
217399_s_at	1.13E-02	6.40E-04	3.7064785	-0.469514	0.38243063	FOXO3B///FOXO3	1.13E-02	6.40E-04	3.7064785	-0.469514	0.38243063	up
211355_x_at	1.13E-02	6.41E-04	3.706051	-0.470665	0.73515687	LEPROT///LEPR	1.13E-02	6.41E-04	3.706051	-0.470665	0.73515687	up
223130_s_at	1.13E-02	6.41E-04	-3.7058701	-0.471153	-0.33276702	MYLIP	1.13E-02	6.41E-04	-3.7058701	-0.471153	-0.33276702	down
223956_at	1.13E-02	6.41E-04	3.7058564	-0.47119	0.35210886	TMPRSS13	1.13E-02	6.41E-04	3.7058564	-0.47119	0.35210886	up
216624_s_at	1.13E-02	6.42E-04	3.7052892	-0.472717	0.32419605	KMT2A	1.13E-02	6.42E-04	3.7052892	-0.472717	0.32419605	up
220015_at	1.13E-02	6.43E-04	3.7050014	-0.473492	0.25590877	CASZ1	1.13E-02	6.43E-04	3.7050014	-0.473492	0.25590877	up
208163_s_at	1.13E-02	6.44E-04	3.7044356	-0.475016	0.27258202	OSBPL7	1.13E-02	6.44E-04	3.7044356	-0.475016	0.27258202	up
203985_at	1.13E-02	6.44E-04	-3.7043682	-0.475197	-0.28039725	ZNF212	1.13E-02	6.44E-04	-3.7043682	-0.475197	-0.28039725	down
211426_x_at	1.13E-02	6.45E-04	3.7038146	-0.476688	0.31050525	GNAQ	1.13E-02	6.45E-04	3.7038146	-0.476688	0.31050525	up
226811_at	1.14E-02	6.47E-04	-3.7028685	-0.479236	-0.59736469	FAM46C	1.14E-02	6.47E-04	-3.7028685	-0.479236	-0.59736469	down
1558930_at	1.14E-02	6.47E-04	3.7027734	-0.479492	0.38053129	LINC00460	1.14E-02	6.47E-04	3.7027734	-0.479492	0.38053129	up
223993_s_at	1.14E-02	6.47E-04	3.7024625	-0.480329	0.28822953	CNIH4	1.14E-02	6.47E-04	3.7024625	-0.480329	0.28822953	up
221042_s_at	1.14E-02	6.48E-04	-3.7020444	-0.481454	-0.33034484	CLMN	1.14E-02	6.48E-04	-3.7020444	-0.481454	-0.33034484	down
1559333_at	1.14E-02	6.49E-04	3.7017653	-0.482206	0.23459548	LOC101927416	1.14E-02	6.49E-04	3.7017653	-0.482206	0.23459548	up
208452_x_at	1.14E-02	6.49E-04	3.7013245	-0.483392	0.47157227	MYO9B	1.14E-02	6.49E-04	3.7013245	-0.483392	0.47157227	up
219405_at	1.14E-02	6.50E-04	-3.7012358	-0.483631	-0.3808176	TRIM68	1.14E-02	6.50E-04	-3.7012358	-0.483631	-0.3808176	down
204745_x_at	1.14E-02	6.50E-04	3.7010643	-0.484093	0.80358283	MT1G	1.14E-02	6.50E-04	3.7010643	-0.484093	0.80358283	up
238223_at	1.14E-02	6.50E-04	3.7010343	-0.484173	0.31391879	PXK	1.14E-02	6.50E-04	3.7010343	-0.484173	0.31391879	up
213062_at	1.14E-02	6.52E-04	-3.7000738	-0.486758	-0.35285246	NTAN1	1.14E-02	6.52E-04	-3.7000738	-0.486758	-0.35285246	down
217600_at	1.14E-02	6.52E-04	3.6998568	-0.487343	0.28875262	SCUBE3	1.14E-02	6.52E-04	3.6998568	-0.487343	0.28875262	up
235253_at	1.14E-02	6.52E-04	-3.6998058	-0.48748	-0.39617351	RAD1	1.14E-02	6.52E-04	-3.6998058	-0.48748	-0.39617351	down
241396_at	1.14E-02	6.53E-04	-3.6994264	-0.488501	-0.75412463	NEDD4L	1.14E-02	6.53E-04	-3.6994264	-0.488501	-0.75412463	down
1568954_s_at	1.14E-02	6.53E-04	3.6992485	-0.48898	0.43725303	C16orf72	1.14E-02	6.53E-04	3.6992485	-0.48898	0.43725303	up
1561723_at	1.14E-02	6.53E-04	3.6992404	-0.489001	0.22829253	LOC105374177	1.14E-02	6.53E-04	3.6992404	-0.489001	0.22829253	up
1554867_a_at	1.14E-02	6.54E-04	3.6989711	-0.489726	0.27442858	PRR16	1.14E-02	6.54E-04	3.6989711	-0.489726	0.27442858	up
230944_at	1.15E-02	6.55E-04	3.6983298	-0.491452	0.34593369	C6orf223	1.15E-02	6.55E-04	3.6983298	-0.491452	0.34593369	up
219710_at	1.15E-02	6.56E-04	3.6980966	-0.492079	0.25490546	SH3TC2	1.15E-02	6.56E-04	3.6980966	-0.492079	0.25490546	up
241963_at	1.15E-02	6.56E-04	3.6980039	-0.492329	0.24340272	ZNF704	1.15E-02	6.56E-04	3.6980039	-0.492329	0.24340272	up
1553973_a_at	1.15E-02	6.56E-04	3.6976809	-0.493198	0.22338266	SPINK6	1.15E-02	6.56E-04	3.6976809	-0.493198	0.22338266	up
231261_at	1.15E-02	6.57E-04	3.6976329	-0.493327	0.31572017	CATSPERG	1.15E-02	6.57E-04	3.6976329	-0.493327	0.31572017	up
230545_at	1.15E-02	6.59E-04	-3.696477	-0.496437	-0.35949439	PARD3-AS1	1.15E-02	6.59E-04	-3.696477	-0.496437	-0.35949439	down
228252_at	1.15E-02	6.60E-04	3.6960623	-0.497552	0.27616105	PIF1	1.15E-02	6.60E-04	3.6960623	-0.497552	0.27616105	up
227710_s_at	1.15E-02	6.60E-04	-3.695725	-0.49846	-0.35602267	TPT1-AS1	1.15E-02	6.60E-04	-3.695725	-0.49846	-0.35602267	down
210827_s_at	1.15E-02	6.60E-04	3.6957179	-0.498479	0.71710598	ELF3	1.15E-02	6.60E-04	3.6957179	-0.498479	0.71710598	up
1555355_a_at	1.15E-02	6.61E-04	3.6953974	-0.499341	0.65334901	ETS1	1.15E-02	6.61E-04	3.6953974	-0.499341	0.65334901	up
215348_at	1.15E-02	6.61E-04	3.6951415	-0.500029	0.34213144	ADCY1	1.15E-02	6.61E-04	3.6951415	-0.500029	0.34213144	up
208894_at	1.15E-02	6.62E-04	3.6949655	-0.500502	0.74071401	HLA-DRA	1.15E-02	6.62E-04	3.6949655	-0.500502	0.74071401	up
204300_at	1.15E-02	6.62E-04	-3.6945586	-0.501597	-0.29206071	GATB	1.15E-02	6.62E-04	-3.6945586	-0.501597	-0.29206071	down
221304_at	1.15E-02	6.63E-04	3.6941896	-0.502589	0.51871758	UGT1A3///UGT1A1///UGT1A9///UGT1A5///UGT1A8	1.15E-02	6.63E-04	3.6941896	-0.502589	0.51871758	up
232534_at	1.16E-02	6.64E-04	3.6938874	-0.503402	0.26180711	LIN37	1.16E-02	6.64E-04	3.6938874	-0.503402	0.26180711	up
1553713_a_at	1.16E-02	6.64E-04	3.6937213	-0.503849	0.29381146	RHEBL1	1.16E-02	6.64E-04	3.6937213	-0.503849	0.29381146	up
243161_x_at	1.16E-02	6.66E-04	-3.6929642	-0.505885	-0.17748345	ZFP42	1.16E-02	6.66E-04	-3.6929642	-0.505885	-0.17748345	down
227841_at	1.16E-02	6.66E-04	-3.6927074	-0.506575	-0.29898919	CEMP1///AMDHD2	1.16E-02	6.66E-04	-3.6927074	-0.506575	-0.29898919	down
212708_at	1.16E-02	6.67E-04	-3.6924316	-0.507317	-0.35429776	MSL1	1.16E-02	6.67E-04	-3.6924316	-0.507317	-0.35429776	down
242776_at	1.16E-02	6.67E-04	3.6923706	-0.507481	0.42478722	ZCCHC6	1.16E-02	6.67E-04	3.6923706	-0.507481	0.42478722	up
1563868_a_at	1.16E-02	6.67E-04	3.6923402	-0.507563	0.26692349	SPATA31E1	1.16E-02	6.67E-04	3.6923402	-0.507563	0.26692349	up
53071_s_at	1.16E-02	6.67E-04	-3.6923311	-0.507587	-0.42157578	OGFOD3	1.16E-02	6.67E-04	-3.6923311	-0.507587	-0.42157578	down
226213_at	1.16E-02	6.67E-04	-3.6919719	-0.508553	-0.48516605	ERBB3	1.16E-02	6.67E-04	-3.6919719	-0.508553	-0.48516605	down
203529_at	1.16E-02	6.69E-04	-3.6913502	-0.510224	-0.17873861	PPP6C	1.16E-02	6.69E-04	-3.6913502	-0.510224	-0.17873861	down
230007_at	1.16E-02	6.69E-04	3.6912862	-0.510396	0.2501916	JMJD1C	1.16E-02	6.69E-04	3.6912862	-0.510396	0.2501916	up
223296_at	1.16E-02	6.69E-04	-3.6910388	-0.511062	-0.64946126	SLC25A33	1.16E-02	6.69E-04	-3.6910388	-0.511062	-0.64946126	down
201323_at	1.16E-02	6.70E-04	-3.6909208	-0.511379	-0.29984148	MIR6733///EBNA1BP2	1.16E-02	6.70E-04	-3.6909208	-0.511379	-0.29984148	down
239202_at	1.16E-02	6.71E-04	3.6901209	-0.513529	0.27231005	RAB3B	1.16E-02	6.71E-04	3.6901209	-0.513529	0.27231005	up
219685_at	1.16E-02	6.72E-04	-3.6896541	-0.514784	-0.3574078	TMEM35A	1.16E-02	6.72E-04	-3.6896541	-0.514784	-0.3574078	down
221065_s_at	1.16E-02	6.72E-04	3.6895433	-0.515082	0.34880626	CHST8	1.16E-02	6.72E-04	3.6895433	-0.515082	0.34880626	up
1554351_a_at	1.16E-02	6.73E-04	3.6892015	-0.516	0.52533869	TIPRL	1.16E-02	6.73E-04	3.6892015	-0.516	0.52533869	up
206037_at	1.16E-02	6.73E-04	-3.6891609	-0.516109	-0.38185464	KYAT1	1.16E-02	6.73E-04	-3.6891609	-0.516109	-0.38185464	down
218368_s_at	1.16E-02	6.74E-04	3.6888797	-0.516865	0.72300016	TNFRSF12A	1.16E-02	6.74E-04	3.6888797	-0.516865	0.72300016	up
210916_s_at	1.16E-02	6.74E-04	3.6886767	-0.517411	0.58832502	CD44	1.16E-02	6.74E-04	3.6886767	-0.517411	0.58832502	up
208653_s_at	1.16E-02	6.74E-04	3.6884878	-0.517918	0.63771437	CD164	1.16E-02	6.74E-04	3.6884878	-0.517918	0.63771437	up
213663_s_at	1.16E-02	6.75E-04	3.6882933	-0.518441	0.48634515	FAM134B	1.16E-02	6.75E-04	3.6882933	-0.518441	0.48634515	up
204241_at	1.16E-02	6.75E-04	-3.6880531	-0.519086	-0.47703353	ACOX3	1.16E-02	6.75E-04	-3.6880531	-0.519086	-0.47703353	down
201974_s_at	1.17E-02	6.76E-04	3.6876306	-0.520222	0.2777057	CCZ1	1.17E-02	6.76E-04	3.6876306	-0.520222	0.2777057	up
219127_at	1.17E-02	6.77E-04	-3.6869642	-0.522013	-0.93831335	PRR15L	1.17E-02	6.77E-04	-3.6869642	-0.522013	-0.93831335	down
241687_at	1.17E-02	6.77E-04	-3.6869011	-0.522182	-0.30343021	WDR12	1.17E-02	6.77E-04	-3.6869011	-0.522182	-0.30343021	down
225552_x_at	1.17E-02	6.77E-04	-3.6868788	-0.522242	-0.23944572	AURKAIP1	1.17E-02	6.77E-04	-3.6868788	-0.522242	-0.23944572	down
226554_at	1.17E-02	6.78E-04	-3.686634	-0.5229	-0.38375617	ZBTB7A	1.17E-02	6.78E-04	-3.686634	-0.5229	-0.38375617	down
241381_at	1.17E-02	6.79E-04	3.6859319	-0.524786	0.35831693	CXorf36	1.17E-02	6.79E-04	3.6859319	-0.524786	0.35831693	up
215620_at	1.17E-02	6.80E-04	-3.6856652	-0.525503	-0.42891954	RREB1	1.17E-02	6.80E-04	-3.6856652	-0.525503	-0.42891954	down
240603_s_at	1.17E-02	6.81E-04	-3.684863	-0.527657	-0.16135753	ERI2	1.17E-02	6.81E-04	-3.684863	-0.527657	-0.16135753	down
220001_at	1.17E-02	6.82E-04	3.6847418	-0.527983	0.29346583	PADI4	1.17E-02	6.82E-04	3.6847418	-0.527983	0.29346583	up
230358_at	1.17E-02	6.82E-04	3.6844096	-0.528875	0.34020322	ZER1	1.17E-02	6.82E-04	3.6844096	-0.528875	0.34020322	up
1561393_at	1.17E-02	6.83E-04	3.6839996	-0.529977	0.51736412	KIAA1755	1.17E-02	6.83E-04	3.6839996	-0.529977	0.51736412	up
210865_at	1.17E-02	6.84E-04	3.6837666	-0.530602	0.34105625	FASLG	1.17E-02	6.84E-04	3.6837666	-0.530602	0.34105625	up
1560883_s_at	1.17E-02	6.84E-04	3.6837194	-0.530729	0.23640902	TLX1NB	1.17E-02	6.84E-04	3.6837194	-0.530729	0.23640902	up
49329_at	1.17E-02	6.84E-04	-3.6836661	-0.530873	-0.32160729	KLHL22	1.17E-02	6.84E-04	-3.6836661	-0.530873	-0.32160729	down
1555326_a_at	1.17E-02	6.85E-04	3.6833459	-0.531732	1.44826387	ADAM9	1.17E-02	6.85E-04	3.6833459	-0.531732	1.44826387	up
202481_at	1.18E-02	6.86E-04	-3.6828163	-0.533155	-0.5134773	DHRS3	1.18E-02	6.86E-04	-3.6828163	-0.533155	-0.5134773	down
225467_s_at	1.18E-02	6.86E-04	-3.6827733	-0.53327	-0.432118	RDH13	1.18E-02	6.86E-04	-3.6827733	-0.53327	-0.432118	down
239807_at	1.18E-02	6.86E-04	3.6824594	-0.534113	0.44364045	LOC102724165	1.18E-02	6.86E-04	3.6824594	-0.534113	0.44364045	up
244857_at	1.18E-02	6.87E-04	3.6822272	-0.534737	0.27493516	HBEGF	1.18E-02	6.87E-04	3.6822272	-0.534737	0.27493516	up
215749_s_at	1.18E-02	6.87E-04	-3.6821444	-0.534959	-0.34623342	GORASP1	1.18E-02	6.87E-04	-3.6821444	-0.534959	-0.34623342	down
229347_at	1.18E-02	6.88E-04	-3.6815215	-0.536632	-0.4408665	MIR4458///MIR4458HG	1.18E-02	6.88E-04	-3.6815215	-0.536632	-0.4408665	down
219431_at	1.18E-02	6.88E-04	-3.6813935	-0.536975	-0.34800316	ARHGAP10	1.18E-02	6.88E-04	-3.6813935	-0.536975	-0.34800316	down
1556449_at	1.18E-02	6.89E-04	3.6809169	-0.538255	0.31743968	TRAPPC12	1.18E-02	6.89E-04	3.6809169	-0.538255	0.31743968	up
1556291_at	1.18E-02	6.91E-04	3.6801754	-0.540246	0.38070224	POM121L12	1.18E-02	6.91E-04	3.6801754	-0.540246	0.38070224	up
200695_at	1.18E-02	6.91E-04	3.6800787	-0.540505	0.36997205	PPP2R1A	1.18E-02	6.91E-04	3.6800787	-0.540505	0.36997205	up
1556301_at	1.18E-02	6.91E-04	-3.6800162	-0.540673	-0.28765706	LOC100287015	1.18E-02	6.91E-04	-3.6800162	-0.540673	-0.28765706	down
218187_s_at	1.18E-02	6.92E-04	-3.6798573	-0.5411	-0.37312952	C8orf33	1.18E-02	6.92E-04	-3.6798573	-0.5411	-0.37312952	down
1555865_at	1.18E-02	6.92E-04	-3.6795505	-0.541923	-0.54987058	TOLLIP-AS1	1.18E-02	6.92E-04	-3.6795505	-0.541923	-0.54987058	down
202007_at	1.18E-02	6.92E-04	3.6795253	-0.541991	0.64235303	NID1	1.18E-02	6.92E-04	3.6795253	-0.541991	0.64235303	up
205517_at	1.18E-02	6.93E-04	3.6793683	-0.542412	0.18751384	GATA4	1.18E-02	6.93E-04	3.6793683	-0.542412	0.18751384	up
1558164_s_at	1.18E-02	6.93E-04	-3.6793382	-0.542493	-0.31298631	PEX13	1.18E-02	6.93E-04	-3.6793382	-0.542493	-0.31298631	down
212712_at	1.18E-02	6.93E-04	3.6790462	-0.543277	0.30389858	CAMSAP1	1.18E-02	6.93E-04	3.6790462	-0.543277	0.30389858	up
239174_at	1.18E-02	6.93E-04	3.6789051	-0.543656	0.31393692	LOC100505912	1.18E-02	6.93E-04	3.6789051	-0.543656	0.31393692	up
228301_x_at	1.18E-02	6.93E-04	-3.6788907	-0.543694	-0.29719035	NDUFB10	1.18E-02	6.93E-04	-3.6788907	-0.543694	-0.29719035	down
213155_at	1.18E-02	6.93E-04	-3.6788814	-0.543719	-0.74459992	LOC339166///WSCD1	1.18E-02	6.93E-04	-3.6788814	-0.543719	-0.74459992	down
220748_s_at	1.18E-02	6.94E-04	-3.6785493	-0.544611	-0.55591893	ZNF580	1.18E-02	6.94E-04	-3.6785493	-0.544611	-0.55591893	down
217848_s_at	1.18E-02	6.95E-04	3.6782989	-0.545283	0.48100711	PPA1	1.18E-02	6.95E-04	3.6782989	-0.545283	0.48100711	up
1556801_at	1.18E-02	6.95E-04	3.6779316	-0.546269	0.29315175	LOC400794	1.18E-02	6.95E-04	3.6779316	-0.546269	0.29315175	up
207880_at	1.19E-02	6.97E-04	3.6772136	-0.548196	0.45899709	ADAM11	1.19E-02	6.97E-04	3.6772136	-0.548196	0.45899709	up
230972_at	1.19E-02	6.97E-04	-3.6771354	-0.548406	-0.36828562	ANKRD9	1.19E-02	6.97E-04	-3.6771354	-0.548406	-0.36828562	down
231822_at	1.19E-02	6.98E-04	3.6768908	-0.549062	0.70308063	CTTNBP2NL	1.19E-02	6.98E-04	3.6768908	-0.549062	0.70308063	up
1556533_at	1.19E-02	6.98E-04	3.6766031	-0.549834	0.32605777	LINC00868	1.19E-02	6.98E-04	3.6766031	-0.549834	0.32605777	up
228679_at	1.19E-02	6.99E-04	-3.6761091	-0.55116	-0.90524536	CCEPR	1.19E-02	6.99E-04	-3.6761091	-0.55116	-0.90524536	down
1563874_at	1.19E-02	6.99E-04	3.6759685	-0.551537	1.14089495	WDR72	1.19E-02	6.99E-04	3.6759685	-0.551537	1.14089495	up
209003_at	1.19E-02	7.00E-04	-3.6758434	-0.551872	-0.39098865	SLC25A11	1.19E-02	7.00E-04	-3.6758434	-0.551872	-0.39098865	down
203610_s_at	1.19E-02	7.00E-04	3.6757025	-0.552251	0.6557874	TRIM38	1.19E-02	7.00E-04	3.6757025	-0.552251	0.6557874	up
212608_s_at	1.19E-02	7.02E-04	-3.6746221	-0.555149	-0.30909928	NUDT3	1.19E-02	7.02E-04	-3.6746221	-0.555149	-0.30909928	down
213050_at	1.19E-02	7.03E-04	-3.6744407	-0.555636	-0.25462874	COBL	1.19E-02	7.03E-04	-3.6744407	-0.555636	-0.25462874	down
1554554_at	1.20E-02	7.08E-04	3.6718361	-0.562622	0.25379708	CCDC57	1.20E-02	7.08E-04	3.6718361	-0.562622	0.25379708	up
233245_at	1.20E-02	7.10E-04	3.6709408	-0.565023	0.3359352	UHRF1BP1	1.20E-02	7.10E-04	3.6709408	-0.565023	0.3359352	up
207646_s_at	1.20E-02	7.11E-04	3.6705429	-0.56609	0.24864939	CDY1B///CDY2B///CDY2A///CDY1	1.20E-02	7.11E-04	3.6705429	-0.56609	0.24864939	up
218548_x_at	1.20E-02	7.11E-04	-3.6701274	-0.567204	-0.27764974	TEX264	1.20E-02	7.11E-04	-3.6701274	-0.567204	-0.27764974	down
216326_s_at	1.20E-02	7.11E-04	-3.6701069	-0.567259	-0.24949863	HDAC3	1.20E-02	7.11E-04	-3.6701069	-0.567259	-0.24949863	down
234461_at	1.20E-02	7.12E-04	3.6700474	-0.567418	0.26913934	RNF215	1.20E-02	7.12E-04	3.6700474	-0.567418	0.26913934	up
