Gene	log2FC
HMX2	-0.59445509
LINC01503	0.67152179
PI15	1.07145977
STAT1	0.7288076
ASPHD2	-0.61168962
LOC100422737	-0.7935921
SCN3A	0.83795212
MRO	-0.70813896
ACTR2	0.80319154
AKAP12	1.04199959
SOCS3	0.89415038
CDH6	1.11369775
THY1	-0.68258464
LOC284009///METTL16	-0.58590847
SCAMP1	0.72266976
AGPS	0.61568206
MBNL2	0.91382185
MXRA5	-0.76602353
EML4	0.60628422
SELENBP1	-0.63300176
FOSL2	0.70798072
UPB1	-1.14131224
TAC1	0.74406865
RGS5	0.78094094
CYP24A1	1.53720783
GABPB1-AS1	-0.60964822
INHBA	0.63076662
SUSD2	-0.83073663
GCDH	-0.58138897
HSP90AA1	0.88175959
LPP	-0.7263228
TYROBP	0.83128626
FAP	0.70659906
ARL4C	0.92825321
ALDH6A1	-0.66427748
SYBU	-0.63624268
CLDN1	0.79598096
SEMA6D	-0.85772442
SGPP2	-1.04030721
KIAA0101	0.7574185
LXN	0.58735681
CTSS	0.98642738
LOC100130232	-0.61880109
LOC101928916///NNMT	1.08462668
ITGA6	0.59630057
PRODH2	-0.67293872
LPL	-1.17136321
KIAA1033	0.65474391
PDLIM2	-0.64203883
FCGR1B	0.62152146
MYCN	-0.66694829
PPP1R16B	-0.61274423
RHOB	0.71647202
CMBL	-0.62098949
FPR3	0.6007754
LPP	0.61889364
TOP2A	0.6083204
MMP7	1.00134778
CXCL8	0.64072813
UBXN4	0.7482182
MALT1	0.58543095
GP2	-0.61626297
ASPA	-0.58041258
TMEM174	-1.137209
AGMAT	-0.82099676
SKAP2	0.62963211
ABCC3	0.66060779
PAQR8	-0.65766428
CYP4F3	-1.0860073
PGGT1B	0.6511275
NTRK2	-0.62397733
CD37	0.61585076
ENPP3	-0.65357467
CCL20	0.7535281
SLC28A1	-0.71356008
CLCNKB///CLCNKA	-0.6823166
TRIL	-0.59807956
A1CF	-0.66247763
SLC30A2	0.61853181
ETNPPL	-0.8460531
MYC	0.68614839
CYP3A7-CYP3A51P	-0.61064448
CASP1	0.58225502
ACOX2	-0.60193957
HIF1A	0.76045268
PPFIBP1	0.69229467
PCDH7	-0.65084456
HAVCR1	1.33874722
ST6GAL1	0.75909944
VCAM1	0.78634891
FCER1G	0.6790936
LOC149703	-0.94030721
CSTA	0.76388902
PC	-0.6616323
CTXN3	-1.22851891
OMD	-0.59194318
ASPA	-0.58348395
UGCG	0.72853459
FPR3	0.61012394
UGT1A3///UGT1A1///UGT1A9///UGT1A5///UGT1A8	0.97212396
TNFSF10	0.81568121
RRAD	0.61181741
COL14A1	-1.03164663
HABP2	0.67248626
GMFB	0.65159876
HIPK3	0.81141049
ERICH4	-0.78882256
PIPOX	-0.84618233
CORO1A	0.5956015
DAO	-0.87936182
AQP2	-0.83507521
PPP1CB	0.65702121
RGS7	-0.74344293
MIOX	-1.01266715
GLIPR1	0.83200966
TNFSF13B	0.60137485
PLAU	-0.71701607
CST6	0.67880412
SCAMP1	0.72326948
LPL	-0.96352948
SLC25A34	-0.6025168
FCGR2B	0.70016594
SERPINA6	-0.60504648
RECQL	0.70437162
PTPN11	0.75106801
SLC6A13	-0.62862905
CALD1	0.76044853
PLG	-1.1882249
RAB18	0.59215922
NCOA2	0.61707253
THNSL2	-0.66134989
NMD3	0.65888934
OGN	-1.14434407
SORD	-0.72292593
CYP3A5	-0.89800127
GGACT	-1.00409147
AQP2	-0.70595324
DPEP1	-0.6876466
SEC23A	0.60227717
UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	0.6004374
LYZ	1.02457412
SCOC	0.73086337
AOC1	-0.78989691
VRK2	0.59467408
RAB8B	0.7538104
WDR72	0.60273085
SLC14A1	-0.78886499
GULP1	0.66930047
CLDN11	-0.79794671
NAMPT	0.78249217
BMPR1B	-0.67597785
DCXR	-0.75117298
ERFE	0.74748616
SPTBN1	0.60876934
FRYL	0.64859121
FAM151A	-1.25638407
USO1	0.7179931
FAM134B	0.60206272
ABCA8	-0.66735445
CTSS	0.6556814
SLC34A2	0.94949641
TNFRSF11B	0.78321712
TFPI	0.69279088
DLG1	0.65209449
IFI16	0.66825943
NAMPT	0.69431142
PSAT1	0.62524358
RDX	0.6824598
COL14A1	-0.99880905
ANGPT1	-0.62260629
ANXA13	0.59191111
CYR61	0.60917338
MACC1	0.58550043
ZNF644	0.6907593
EFHB	0.62525044
COL1A1	0.6028975
MACC1	0.90812617
PEG3	-0.60553624
SOX9	0.81431376
DHDH	-0.66388595
REG1A	0.915347
SULT1C4	0.61990714
C7	-0.58014335
FCER1G	0.7869156
FAM83D	-0.58001989
SLC22A7	-1.03331338
SCGB1D2	-0.65183266
CDH6	0.9595405
EXOC5	0.84867139
DPP4	0.60244472
NEGR1	-0.68960836
LOC101930489///MIR4435-2HG///LINC00152	0.61576189
PAPD4	0.63424851
IL7R	0.62424697
PKLR	-0.64293187
ZNF655	0.67784313
COL3A1	0.90710298
GPR65	0.5879784
SLC2A5	-0.77478846
KHK	-0.62527379
SLC6A19	-0.84598128
GLS	0.79000844
HBB	0.95633431
XPNPEP2	-0.94704861
CYP4A22///CYP4A11	-0.93758475
SPP1	0.62093342
GSTA3	-0.62309308
GPNMB	-0.6971728
MAFF	0.88758092
HS6ST2	-0.73503131
MYH8	-0.84401724
GSTA1	-0.96403377
DRAIC	-0.6975749
PIK3C2A	0.71990067
ITGB2	0.76914201
RANBP2	0.85726094
ACSM2A	-0.71958513
COL5A1	0.66053952
PAPOLA	0.70833727
C3	0.72729038
RNASE6	0.61143828
UPP2	-0.89449757
LAPTM5	0.71623283
GK	-0.5844667
LYZ	1.18595511
FGF9	-0.69521384
ADAM12	0.61185996
SLC22A7	-0.64378799
PLEKHA5	-0.60200426
VCAN	0.90279774
MTTP	-0.77508936
APOH	-0.87753846
CAPN3	-0.58679227
LOC100287413///GLYATL1	-0.59122374
C1QC	0.75151143
HS3ST1	0.79792957
CD44	0.63688339
RBP7	-0.63724447
